Weight,Height
51.24,167.08
61.9,181.66
69.4,176.28
64.55,173.28
65.44,172.19
55.92,174.5
64.17,177.29
61.89,177.83
50.96,172.47
54.73,169.62
57.8,168.88
51.76,171.75
56.97,173.48
55.54,170.48
52.65,173.43
63.49,180.57
58.73,168.81
64.84,174.37
62.54,180.92
56.25,170.51
64.07,172.29
65.1,174.96
44.4,161.24
58.73,173.79
64.33,171.78
58.83,170.71
64.59,179.93
59.66,171.42
49.13,168.99
51.65,166.22
54.76,167.16
57.05,172.26
61.78,179.32
63.54,182.37
58.39,175.79
64.31,169.67
54.98,171.86
59.57,172.24
48.39,162.69
56.4,174.17
56.63,165.56
63.34,176.94
62.3,172.64
48.28,167.59
58.39,174.42
66.07,169.88
52.98,171.96
65.13,177.34
61.39,175.49
